REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,LATINA,LATINA,LTIS018006,GALILEI -SANI,LTTF01801P,GALILEO GALILEI,VIA PONCHIELLI S.N.C.,04100,ISTITUTO TECNICO INDUSTRIALE
LAZIO,PIEDIMONTE SAN GERMANO,FROSINONE,FRIC82500D,I.C. PIEDIMONTE SAN GERMANO,FRIC82500D,I.C. PIEDIMONTE SAN GERMANO,VIA MILAZZO 21,03030,ISTITUTO COMPRENSIVO
LAZIO,VITICUSO,FROSINONE,FRIC843003,I.C. CERVARO,FRAA843087,VITICUSO S.ANTONINO INFANZIA,VIA S.ANTONINO,03040,SCUOLA INFANZIA
LAZIO,NAZZANO,ROMA,RMIC870006,I.C. PIERO ANGELA,RMAA870046,NAZZANO - GIUSEPPE MAZZINI,VIA SANT'ANTIMO 19,00060,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8EA00R,LUIGI SETTEMBRINI,RMEE8EA02X,VENTI SETTEMBRE,VIA NOVARA 22,00198,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC813002,"""MARIA MONTESSORI""",RMEE813036,ANGELI DELLA CITTA',VIA MONTE CARDONETO 9,00139,SCUOLA PRIMARIA
LAZIO,ROCCA D'ARCE,FROSINONE,FRIC81600P,"I.C. ""GIOV. PAOLO II"" ARCE",FRAA81604P,ROCCADARCE CAPOLUOGO,VIA CANALE,03030,SCUOLA INFANZIA
LAZIO,FROSINONE,FROSINONE,FRIS02400T,"I.I.S. ""TURRIZIANI"" FROSINONE",FRPC024015,"LICEO CLASSICO ""TURRIZIANI""",VIA ACCIACCARELLI 53,03100,LICEO CLASSICO
LAZIO,CEPRANO,FROSINONE,FRIC83100R,I. C. CEPRANO,FRMM83101T,"S.M. ""DANTE ALIGHIERI"" CEPRANO",VIA DON LUIGI CATELLI,03024,SCUOLA PRIMO GRADO
LAZIO,FIUMICINO,ROMA,RMIS03100Q,PAOLO BAFFI,RMPS031016,LICEO SCIENTIFICO,Non Disponibile,00054,LICEO SCIENTIFICO
LAZIO,ROMA,ROMA,RMIC85600X,I.C. FRATELLI CERVI,RMEE856034,PONTE GALERIA,VIA PORTUENSE 1491,00148,SCUOLA PRIMARIA
LAZIO,SUBIACO,ROMA,RMIC8DZ00R,IC SUBIACO,RMEE8DZ01V,SUBIACO C.U.,P.ZZA ROMA 28,00028,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMPC17000D,ALBERTELLI,RMPC17000D,ALBERTELLI,VIA D. MANIN 72,00185,LICEO CLASSICO
LAZIO,GUIDONIA MONTECELIO,ROMA,RMIC898002,LEONARDO DA VINCI,RMAA89801V,VIA VERDI,VIA VERDI 1,00012,SCUOLA INFANZIA
LAZIO,GAETA,LATINA,LTIC803008,ISTITUTO COMPRENSIVO CARDUCCI,LTEE80302B,VIRGILIO,PIAZZA DON LUIGI DI LIEGRO 13,04024,SCUOLA PRIMARIA
LAZIO,ALBANO LAZIALE,ROMA,RMIS05300L,SANDRO PERTINI,RMRC05301G,N.GARRONE,VIA DELLA STELLA 7,00041,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
LAZIO,BORGOROSE,RIETI,RIIC81900A,I. OMNICOMPRENSIVO BORGOROSE,RIEE81901C,BORGOROSE,VIALE MICANGELI41,02021,SCUOLA PRIMARIA
LAZIO,CIVITAVECCHIA,ROMA,RMIC8B900G,IC E. GALICE,RMEE8B901N,C. COLLODI,VIA ADIGE,00053,SCUOLA PRIMARIA
LAZIO,VETRALLA,VITERBO,VTIC83600R,I.C. PIAZZA MARCONI VETRALLA,VTAA83603Q,"SCUOLA INFANZIA ""T. CHERUBINI""",VIA MILANO,01019,SCUOLA INFANZIA
LAZIO,VELLETRI,ROMA,RMIC8F9002,I.C. VELLETRI CENTRO,RMEE8F9014,G. MARCELLI,VIALE OBERDAN 1,00049,SCUOLA PRIMARIA
LAZIO,BASSIANO,LATINA,LTIC82700R,IC PACIFICI SEZZE -BASSIANO,LTMM82703X,S.M.S. BASSIANO,VIA DEI MARTIRI S.N.C.,04010,SCUOLA PRIMO GRADO
LAZIO,VITERBO,VITERBO,VTIC83200D,I. C. PIETRO VANNI VITERBO,VTMM83201E,SCUOLA SEC. I VANNI,VIA CARLO CATTANEO 9,01100,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIS113003,CROCE-ALERAMO,RMRF113515,"PERCORSO II LIV ""SIBILLA ALERAMO""",VIA CANNIZZARO 16,00156,IST PROF PER I SERVIZI SOCIALI
LAZIO,FARA IN SABINA,RIETI,RIPS070005,LICEO CLASSICO SCIENTIFICO L. ROCCI,RIPS070005,LICEO CLASSICO SCIENTIFICO L. ROCCI,VIA COLLE DELLA FELCE 28,02032,LICEO SCIENTIFICO
LAZIO,VIGNANELLO,VITERBO,VTIC813004,IC VIGNANELLO,VTMM813015,SCUOLA SEC. I VIGNANELLO,VIA DONATORI DI SANGUE 1,01039,SCUOLA PRIMO GRADO
LAZIO,ISCHIA DI CASTRO,VITERBO,VTIC80100T,"I.C. "" PAOLO RUFFINI""",VTEE801021,SC. PRIMARIA S. DOMENICO SAVIO,VIA SAN ROCCO 46,01010,SCUOLA PRIMARIA
LAZIO,CIAMPINO,ROMA,RMIS09600E,M.AMARI - P.MERCURI,RMTD096505,AMARI,Non Disponibile,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
LAZIO,FIUMICINO,ROMA,RMIC8G5009,IC VIA MAFFI,RMMM8G507L,CENTRO CURE PALLIATIVE OBG,Non Disponibile,Non Disponibile,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIS126005,IIS CARLO MATTEUCCI,RMTD12651R,"PERCORSI DI II LIVELLO ""MATTEUCCI""",VIA DELLE VIGNE NUOVE 262,00139,ISTITUTO TECNICO COMMERCIALE
LAZIO,ROMA,ROMA,RMIC820005,GIOVANNI PALOMBINI,RMAA820045,L.GO STUCCHI,VIA FERMO CORNI 18,00156,SCUOLA INFANZIA
LAZIO,SANTA MARINELLA,ROMA,RMPS130006,GALILEI - CIVITAVECCHIA,RMPS130017,GALILEI - S.MARINELLA,VIA GALILEI,00058,LICEO SCIENTIFICO
LAZIO,CASSINO,FROSINONE,FRIC85400D,I.C. RITA LEVI MONTALCINI,FRAA85401A,CASSINO VIA ZAMOSCH,VIA ZAMOSCH,03043,SCUOLA INFANZIA
LAZIO,CASALVIERI,FROSINONE,FRIC82000A,ISTITUTO OMNICOMPRENSIVO ALVITO,FRAA82006C,"CASALVIERI ""ROSELLI""",VIA ROSELLI,03030,SCUOLA INFANZIA
LAZIO,ANAGNI,FROSINONE,FRMM454002,SCUOLA MEDIA CONV.R. MARGHERITA,FRMM454002,SCUOLA MEDIA CONV.R. MARGHERITA,PIAZZA R. BONGHI N. 2,03012,SCUOLA PRIMO GRADO
LAZIO,ARDEA,ROMA,RMIC8C9006,IC ARDEA I,RMAA8C9013,BAITA,VIA LAURENTINA KM. 32300,00040,SCUOLA INFANZIA
LAZIO,SAN CESAREO,ROMA,RMIC8AE00N,SAN CESAREO - VIALE DEI CEDRI,RMEE8AE01Q,SAN CESAREO - EUGENIO GIANNUZZI,VIA DEI CEDRI,00030,SCUOLA PRIMARIA
LAZIO,CIVITAVECCHIA,ROMA,RMIS13200C,STENDHAL CALAMATTA,RMTL13251E,PERC. II LIV. CALAMATTA,VIA . DA SANGALLO 3,00053,ISTITUTO TECNICO PER GEOMETRI
LAZIO,SEZZE,LATINA,LTIC82700R,IC PACIFICI SEZZE -BASSIANO,LTEE82701V,PIAGGE MARINE (CAPOLUOGO),VIA PIAGGE MARINE N 8,04018,SCUOLA PRIMARIA
LAZIO,CIAMPINO,ROMA,RMIC8A000E,LEONARDO DA VINCI,RMAA8A005G,CIAMPINO II - VIA BLERIOT,VIA BLERIOT 44/A1,00043,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8D8001,IC VIA P.A. MICHELI,RMAA8D801T,VILLAGGIO OLIMPICO,VIA VENEZUELA 33,00197,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GE009,IC VIA CENEDA,RMEE8GE02C,BOBBIO,VIA BOBBIO 3,00182,SCUOLA PRIMARIA
LAZIO,APRILIA,LATINA,LTIC83100C,I.C. ZONA LEDA APRILIA,LTEE83104N,"""BENEDETTO LANZA""",VIA GENIO CIVILE,04011,SCUOLA PRIMARIA
LAZIO,CAPENA,ROMA,RMIC868006,CAPENA,RMMM868017,SAN LEONE - CAPENA,VIA DEL MATTATOIO 39,00060,SCUOLA PRIMO GRADO
LAZIO,FROSINONE,FROSINONE,FRIC86000R,I.C. 3^ FROSINONE,FRAA86004R,FROSINONE FOSSE ARDEATINE,VIA FOSSE ARDEATINE26,03100,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8CS00B,IC EMMA CASTELNUOVO,RMAA8CS029,"""MILLA RICCI""",VIA MEDAIL 31,00132,SCUOLA INFANZIA
LAZIO,ARPINO,FROSINONE,FRIC82900R,I. C. ARPINO,FRAA82901N,ARPINO CAPOLUOGO INF.,LOC. PANACCIO,03033,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC847005,IC P.ZZA BORGONCINI DUCA 5,RMMM847016,VIA S. MARIA DELLE FORNACI 1,VIA S. MARIA DELLE FORNACI 1,00165,SCUOLA PRIMO GRADO
LAZIO,RIETI,RIETI,RIIC829001,MINERVINI SISTI,RIMM829012,BASILIO SISTI,VIA DELLA FONTANELLA1,02100,SCUOLA PRIMO GRADO
LAZIO,LADISPOLI,ROMA,RMIC8DX005,IC LADISPOLI I,RMMM8DX016,SMS I.C. LADISPOLI 1,VIA FRATELLI BANDIERA 29,00055,SCUOLA PRIMO GRADO
LAZIO,FONDI,LATINA,LTIC85200D,I.C. GARIBALDI,LTAA85202B,SAN MAGNO,VIA RENE,04022,SCUOLA INFANZIA
LAZIO,PIEDIMONTE SAN GERMANO,FROSINONE,FRIC82500D,I.C. PIEDIMONTE SAN GERMANO,FRMM82501E,"S.M.""DON MINZONI"" PIEDIMONTE SG",VIA MILAZZO 21,03030,SCUOLA PRIMO GRADO
LAZIO,CERVARO,FROSINONE,FRIC843003,I.C. CERVARO,FRMM843014,"S.M.S. ""R.D'ALFONSO""",VIA DEI MILLE,03044,SCUOLA PRIMO GRADO
LAZIO,CERVETERI,ROMA,RMIC8DD00N,IC CENA,RMAA8DD01E,CERVETERI I C.U.,VIA CONSALVI,00052,SCUOLA INFANZIA
LAZIO,TIVOLI,ROMA,RMIC892003,I.C TIVOLI IV-VINCENZO PACIFICI,RMAA892043,MARIA MONTESSORI - VIA PATERNO,VIA PATERNO28,00010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC83100G,IC VIA DELLE ALZAVOLE,RMEE83104R,AURELIO POZZI,VIA CASILINA 1374,00133,SCUOLA PRIMARIA
LAZIO,SANT'ELIA FIUMERAPIDO,FROSINONE,FRIC857001,I.C. SANT'ELIA FIUMERAPIDO,FRAA85701T,S.ELIA CAPOLUOGO,VILLA COMUNALE,03049,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIS022001,J.VON NEUMANN,RMTF02250T,PERC. II LIV. VON NEUMANN,VIA POLLENZA 115,00156,ISTITUTO TECNICO INDUSTRIALE
LAZIO,ROMA,ROMA,RMIC8BQ008,CHIODI DIONIGIO ROMEO,RMIC8BQ008,CHIODI DIONIGIO ROMEO,VIA APPIANO .15,00136,ISTITUTO COMPRENSIVO
LAZIO,POMEZIA,ROMA,RMIC8A9001,ENRICO PESTALOZZI,RMAA8A903X,"""E.PESTALOZZI""INFANZIA 3",VIA MARSIGLIA N.7,00071,SCUOLA INFANZIA
LAZIO,SORIANO NEL CIMINO,VITERBO,VTIC82200V,I.C. MONACI SORIANO NEL CIMINO,VTAA82201Q,D. PATRIZI - SORIANO N. C.,VIA S. DAVID,01038,SCUOLA INFANZIA
LAZIO,FROSINONE,FROSINONE,FRIC86000R,I.C. 3^ FROSINONE,FRMM86001T,S.M. 3^ I.C. FROSINONE,VIA FOSSE ARDEATINE 14,03100,SCUOLA PRIMO GRADO
LAZIO,CIVITAVECCHIA,ROMA,RMIC8B900G,IC E. GALICE,RMAA8B903E,CIVITAVECCHIA V - VIA PLATANI,VIA DEI PLATANI SNC,00053,SCUOLA INFANZIA
LAZIO,ESPERIA,FROSINONE,FRIC80300L,I.C. ESPERIA,FRAA80303G,ESPERIA MONTICELLI,PIAZZA A. CAPRARELLI,03045,SCUOLA INFANZIA
LAZIO,FORMIA,LATINA,LTIS021002,LICEO MARCO TULLIO CICERONE POLLIONE,LTPC021019,LICEO CLASSICO VITRUVIO POLLIONE,VIA RIALTO FERROVIA 44,04023,LICEO CLASSICO
LAZIO,ROMA,ROMA,RMIC8EA00R,LUIGI SETTEMBRINI,RMEE8EA01V,BARTOLOMEI,VIA ASMARA 32,00199,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC813002,"""MARIA MONTESSORI""",RMAA81302X,VIA MONTE RUGGERO,VIA MONTE RUGGERO,00141,SCUOLA INFANZIA
LAZIO,CEPRANO,FROSINONE,FRIC83100R,I. C. CEPRANO,FREE83101V,"CEPRANO ""GIOVANNI COLASANTI""",VIA ALFIERI N. 78,03024,SCUOLA PRIMARIA
LAZIO,FARA IN SABINA,RIETI,RIIS001009,"I.I.S. ""STATISTA ALDO MORO""",RITD001511,IST.TECN.COMM.LE CORSO SERALE SIRIO,LOCALITA' COLLE DELLA FELCE 30,02032,ISTITUTO TECNICO COMMERCIALE
LAZIO,ROMA,ROMA,RMIS11400V,EVANGELISTA TORRICELLI,RMTF11401B,CARTESIO,VIA CESARE LOMBROSO 120,00168,ISTITUTO TECNICO INDUSTRIALE
LAZIO,SUBIACO,ROMA,RMIC8DZ00R,IC SUBIACO,RMEE8DZ02X,SUBIACO - OLIVETO PIANO,VIA OLIVETO PIANO,00028,SCUOLA PRIMARIA
LAZIO,NAZZANO,ROMA,RMIC870006,I.C. PIERO ANGELA,RMEE870029,NAZZANO - GIUSEPPE MAZZINI,VIA SANT'ANTIMO 19,00060,SCUOLA PRIMARIA
LAZIO,FROSINONE,FROSINONE,FRIC84600E,I.C. 4^ FROSINONE,FRAA84602C,FROSINONE VIA ARNO,VIA ARNO,03100,SCUOLA INFANZIA
LAZIO,COLFELICE,FROSINONE,FRIC81600P,"I.C. ""GIOV. PAOLO II"" ARCE",FRAA81603N,INFANZIA COLFELICE COLDRAGONE,VIA CAMPO GRANDE,03030,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMPC180004,SOCRATE,RMPC180004,SOCRATE,V. PADRE REGINALDO GIULIANI 15,00154,LICEO CLASSICO
LAZIO,FIUMICINO,ROMA,RMIS03100Q,PAOLO BAFFI,RMTD031012,PAOLO BAFFI,VIA BEZZI51/53,00054,ISTITUTO TECNICO COMMERCIALE
LAZIO,GAETA,LATINA,LTIC803008,ISTITUTO COMPRENSIVO CARDUCCI,LTMM80302A,CARDUCCI,PIAZZA TRIESTE 5,04024,SCUOLA PRIMO GRADO
LAZIO,ALBANO LAZIALE,ROMA,RMIS05300L,SANDRO PERTINI,RMTN05301R,VIA DELLA STELLA,VIA DELLA STELLA 7,00041,ISTITUTO TECNICO PER IL TURISMO
LAZIO,ROMA,ROMA,RMIC8G5009,IC VIA MAFFI,RMEE8G501B,MAFFI,VIA P. MAFFI 45,00168,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIS127001,F.DE PINEDO- M. COLONNA,RMTH127022,M.COLONNA,VIA SALVATORE PINCHERLE 201,00146,ISTITUTO TECNICO NAUTICO
LAZIO,GUIDONIA MONTECELIO,ROMA,RMIC898002,LEONARDO DA VINCI,RMAA898031,VIA BADEN POWELL,VIA BADEN POWELL 1,00012,SCUOLA INFANZIA
LAZIO,VETRALLA,VITERBO,VTIC83600R,I.C. PIAZZA MARCONI VETRALLA,VTEE83601V,PIAZZA MARCONI,PIAZZA MARCONI 37,01019,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC83700E,"""RAFFAELLO""",RMMM83701G,RAFFAELLO,VIA A. STOPPATO 7,00173,SCUOLA PRIMO GRADO
LAZIO,VASANELLO,VITERBO,VTIC82200V,I.C. MONACI SORIANO NEL CIMINO,VTEE822066,"""E. CELESTINI""-VASANELLO",VIA G. MARCONI 3,01030,SCUOLA PRIMARIA
LAZIO,SANTA MARINELLA,ROMA,RMIC8CA00G,I.C. PIAZZALE DELLA GIOVENTU 1,RMEE8CA02P,S. MARINELLA CENTRO URBANO,VIA AURELIA 276,00058,SCUOLA PRIMARIA
LAZIO,BASSIANO,LATINA,LTIC82700R,IC PACIFICI SEZZE -BASSIANO,LTAA82703Q,SCUOLA INFANZIA VIA DELLA CROCE,VIA DELLA CROCE,04010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8EP00Q,IC GIOVANNI FALCONE,RMIC8EP00Q,IC GIOVANNI FALCONE,PIAZZALE HEGEL 10,00137,ISTITUTO COMPRENSIVO
LAZIO,VELLETRI,ROMA,RMIC8F9002,I.C. VELLETRI CENTRO,RMAA8F901V,C.U. VIA DELLE MURA,VIA DELLE MURA,00049,SCUOLA INFANZIA
LAZIO,SEZZE,LATINA,LTIC82700R,IC PACIFICI SEZZE -BASSIANO,LTMM82702V,SMS CAIO TITINO DE MAGISTRIS,VIA SAN BARTOLOMEO SNC,04018,SCUOLA PRIMO GRADO
LAZIO,MONTEROTONDO,ROMA,RMIC88700G,LOREDANA CAMPANARI,RMAA88701C,"""VIA A. MORO""",VIA ALDO MORO SNC,00015,SCUOLA INFANZIA
LAZIO,CEPRANO,FROSINONE,FRIC83100R,I. C. CEPRANO,FRAA83104R,CEPRANO COLLETASSETANO,VIA MAURIZIO POLISENA,03024,SCUOLA INFANZIA
LAZIO,CANEPINA,VITERBO,VTIC813004,IC VIGNANELLO,VTAA813033,SCUOLA INFANZIA CANEPINA,VIA GUIDO ROSSA SNC,01030,SCUOLA INFANZIA
LAZIO,FORANO,RIETI,RIIC80800X,FORUM NOVUM - TORRI IN SABINA,RIAA808062,FRAZ GAVIGNANO,VIA POGGIO MIRTETO SNC,02040,SCUOLA INFANZIA
LAZIO,ISCHIA DI CASTRO,VITERBO,VTIC80100T,"I.C. "" PAOLO RUFFINI""",VTMM801031,SC. SEC. 1^G- ISCHIA DI CASTRO,VIA SALVO D'ACQUISTO 28,01010,SCUOLA PRIMO GRADO
LAZIO,COLLEFERRO,ROMA,RMIC8DG005,IC ALFREDO VINCIGUERRA,RMAA8DG012,DANTE ALIGHIERI,VIA SILVIO PELLICO,00034,SCUOLA INFANZIA
LAZIO,CASSINO,FROSINONE,FRIC85400D,I.C. RITA LEVI MONTALCINI,FREE85401G,"""MARIA GUALZETTI SARAGOSA""",CORSO SAN BASILIO,03043,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMPC200004,LC ARISTOFANE,RMPC200004,LC ARISTOFANE,VIA MONTE RESEGONE 3,00139,LICEO CLASSICO
LAZIO,PONTECORVO,FROSINONE,FRMM466008,8^ CPIA PROVINCIA FROSINONE,FRCT70300D,CENTRO TERRITORIALE E.D.A. PONTECORVO,VIA ALDO MORO,03037,CENTRO TERRITORIALE
LAZIO,ANZIO,ROMA,RMPS160002,INNOCENZO XII,RMPS160002,INNOCENZO XII,VIA PEGASO 6,00042,LICEO SCIENTIFICO
LAZIO,SAN CESAREO,ROMA,RMIC8AE00N,SAN CESAREO - VIALE DEI CEDRI,RMIC8AE00N,SAN CESAREO - VIALE DEI CEDRI,VIALE DEI CEDRI N. 113,00030,ISTITUTO COMPRENSIVO
LAZIO,CAPENA,ROMA,RMIC868006,CAPENA,RMEE868018,CAPENA,VIA PROVINCIALE / VIA DEL MATTATOIO,00060,SCUOLA PRIMARIA
LAZIO,CIVITAVECCHIA,ROMA,RMIS13200C,STENDHAL CALAMATTA,RMRH13202N,PERCORSO II LIVELLO SEZIONE CARCERARIA,VIA DELLA POLVERIERA 28,00053,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
LAZIO,SEZZE,LATINA,LTIC82700R,IC PACIFICI SEZZE -BASSIANO,LTAA82704R,LOC.COLLI,VIA S.S. SEBASTIANO E ROCCO,04018,SCUOLA INFANZIA
LAZIO,CIAMPINO,ROMA,RMIC8A000E,LEONARDO DA VINCI,RMIC8A000E,LEONARDO DA VINCI,VIALE J.F. KENNEDY N. 139,00043,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMIC8D8001,IC VIA P.A. MICHELI,RMMM8D8012,VIA FLAMINIA 223,VIA FLAMINIA 223,00196,SCUOLA PRIMO GRADO
LAZIO,APRILIA,LATINA,LTIC83100C,I.C. ZONA LEDA APRILIA,LTAA83106E,LOC. SELCIATELLA,VIA SELCIATELLA,04011,SCUOLA INFANZIA
LAZIO,MONTEROTONDO,ROMA,RMIC88700G,LOREDANA CAMPANARI,RMAA88704G,L. CAMPANARI,VIA MONTE POLLINO 39,00015,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8CS00B,IC EMMA CASTELNUOVO,RMEE8CS02E,CIRIELLO RAFFAELE,VIA OSCAR ARNULFO ROMERO 68/100,00132,SCUOLA PRIMARIA
LAZIO,LADISPOLI,ROMA,RMIC8DX005,IC LADISPOLI I,RMAA8DX023,LADISPOLI I - ROSARIO LIVATINO,VIA FRATELLI BANDIERA 27,00055,SCUOLA INFANZIA
LAZIO,FONDI,LATINA,LTIC85200D,I.C. GARIBALDI,LTAA85204D,CUCURUZZO,Non Disponibile,04022,SCUOLA INFANZIA
LAZIO,VILLA SANTA LUCIA,FROSINONE,FRIC82500D,I.C. PIEDIMONTE SAN GERMANO,FREE82503N,VILLA S.LUCIA-PIUMAROLA,VIA DELLE SORGENTI,03030,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8EA00R,LUIGI SETTEMBRINI,RMMM8EA01T,SETTEMBRINI,VIA SEBENICO 1,00198,SCUOLA PRIMO GRADO
LAZIO,SANT'ELIA FIUMERAPIDO,FROSINONE,FRIC857001,I.C. SANT'ELIA FIUMERAPIDO,FRIC857001,I.C. SANT'ELIA FIUMERAPIDO,VIA IV NOVEMBRE,03049,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMIC8BQ008,CHIODI DIONIGIO ROMEO,RMEE8BQ01A,VIA APPIANO,VIA APPIANO 15,00136,SCUOLA PRIMARIA
LAZIO,ANZIO,ROMA,RMIC8C500V,I.C. ANZIO I,RMAA8C502R,ANZIO I - QUARTIERE EUROPA,VIA LUSSEMBURGO,00042,SCUOLA INFANZIA
LAZIO,TERRACINA,LATINA,LTIS02800R,I.I.S. BIANCHINI - FILOSI,LTTD02851C,ARTURO BIANCHINI,VIA PANTANELLE S.N.C.,04019,ISTITUTO TECNICO COMMERCIALE
LAZIO,FROSINONE,FROSINONE,FRIC86000R,I.C. 3^ FROSINONE,FRAA86002P,FROSINONE VIALE MATTEOTTI,VIALE MATTEOTTI,03100,SCUOLA INFANZIA
LAZIO,GENZANO DI ROMA,ROMA,RMIC8BA001,GIUSEPPE GARIBALDI,RMAA8BA03X,MARCHESI,VIA DELLA SELVA SNC,00045,SCUOLA INFANZIA
LAZIO,VETRALLA,VITERBO,VTIC83600R,I.C. PIAZZA MARCONI VETRALLA,VTAA83602P,GIROLAMO MINERVINI VETRALLA,LOC. PIETRARA,01019,SCUOLA INFANZIA
LAZIO,ESPERIA,FROSINONE,FRIC80300L,I.C. ESPERIA,FRAA80301D,ESPERIA BADIA,VIA TROMBA DI ROSA,03045,SCUOLA INFANZIA
LAZIO,FARA IN SABINA,RIETI,RIIS001009,"I.I.S. ""STATISTA ALDO MORO""",RITD00101G,ISTITUTO TECNICO ECONOMICO,LOCALITA' COLLE DELLA FELCE 30,02032,ISTITUTO TECNICO COMMERCIALE
LAZIO,BORGO VELINO,RIETI,RIIC82000E,"I.C. ""VALLE DEL VELINO""",RIAA82006L,SCUOLA INFANZIA BORGO VELINO,VIALE ALDO MORO 94,02010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GV009,I.C. VIA S.C.DONATI,RMEE8GV03D,POLICLINICO GEMELLI,LARGO A. GEMELLI 8,00168,SCUOLA PRIMARIA
LAZIO,SANT'ORESTE,ROMA,RMIC870006,I.C. PIERO ANGELA,RMAA870024,SANT'ORESTE - LUIGI SILOCCHI,LOCALITA' NOCETO,00060,SCUOLA INFANZIA
LAZIO,FROSINONE,FROSINONE,FRIC84700A,I.C. 2^ FROSINONE,FREE84702D,FROSINONE GIOVANNI XXIII,VIA LICINIO REFICE,03100,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIS03200G,"I.I.S. ""TOMMASO SALVINI""",RMRC03201E,F.FERRARA,VIA CAPOSILE 1,00195,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
LAZIO,ARCINAZZO ROMANO,ROMA,RMIC8DZ00R,IC SUBIACO,RMEE8DZ109,ARCINAZZO - ALTIPIANI,VIA DEL PIGLIO,00020,SCUOLA PRIMARIA
LAZIO,GUIDONIA MONTECELIO,ROMA,RMIC898002,LEONARDO DA VINCI,RMAA898053,VIA CAMAROTTA,VIA ADORNO CAMAROTTA 1,00012,SCUOLA INFANZIA
LAZIO,PALIANO,FROSINONE,FRIC827005,I.C. PALIANO,FRAA827034,PALIANO CAPOLUOGO,VIA PIANO DEI COLLI,03018,SCUOLA INFANZIA
LAZIO,GAETA,LATINA,LTIC803008,ISTITUTO COMPRENSIVO CARDUCCI,LTAA803015,"SCUOLA DELL'INFANZIA ""S. CONCA""",VIA DEI FRASSINI S.N.C,04024,SCUOLA INFANZIA
LAZIO,GENZANO DI ROMA,ROMA,RMIS05300L,SANDRO PERTINI,RMRI053018,P.ZZA FRASCONI,PIAZZA FRASCONI 1,00045,IST PROF INDUSTRIA E ARTIGIANATO
LAZIO,CASSINO,FROSINONE,FRIC85400D,I.C. RITA LEVI MONTALCINI,FRMM85401E,"S.M. ""CONTE"" CASSINO",VIA XX SETTEMBRE N. 22,03043,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8BQ008,CHIODI DIONIGIO ROMEO,RMAA8BQ015,VIA APPIANO,VIA APPIANO 15,00136,SCUOLA INFANZIA
LAZIO,SORIANO NEL CIMINO,VITERBO,VTIC82200V,I.C. MONACI SORIANO NEL CIMINO,VTIC82200V,I.C. MONACI SORIANO NEL CIMINO,VIALE E. MONACI 37,01038,ISTITUTO COMPRENSIVO
LAZIO,SANTA MARINELLA,ROMA,RMIC8CA00G,I.C. PIAZZALE DELLA GIOVENTU 1,RMIC8CA00G,I.C. PIAZZALE DELLA GIOVENTU 1,P.LE DELLA GIOVENTU 1,00058,ISTITUTO COMPRENSIVO
LAZIO,FIUMICINO,ROMA,RMIC83800A,"I.C. ""C. COLOMBO""",RMIC83800A,"I.C. ""C. COLOMBO""",VIA DELL'IPPOCAMPO 41,00054,ISTITUTO COMPRENSIVO
LAZIO,ARSOLI,ROMA,RMIC8AL00A,ISTITUTO COMPRENSIVO - VICOVARO,RMMM8AL035,ROSATELLI,VIA DON MINZONI1,00023,SCUOLA PRIMO GRADO
LAZIO,VELLETRI,ROMA,RMIC8F9002,I.C. VELLETRI CENTRO,RMIC8F9002,I.C. VELLETRI CENTRO,VIALE OBERDAN 1,00049,ISTITUTO COMPRENSIVO
